"Team","idseason","Player","Fixture","Game","idgame","Season","Phase","Round","Home_Away","Against","Position","Minutes played","Goals","Assists","Yellow card","Red card","Shots on target","Shots off target","Shots blocked","Dribble attempts","Dribble attempts succ","Penalty won","Big chances missed","Penalty miss","Hit woodwork","Defensive actions","Clearances","Blocked shots","Interceptions","Total tackles","Dribbled past","Penalty committed","Own goals","Last man tackle","Error led to shot","Clearance off line","Error led to goal","Touches","Accurate passes","Total passes","Accurate passes(%)","Key passes","Total Crosses","Accurate Crosses","Total Long balls","Accurate Long balls","Big chances created","Duels","Duels won","Ground duels","Ground duels won","Aerial duels","Aerial duels won","Possession lost","Fouls","Was fouled","Offsides","Saves","Punches","Runs out","Runs out succ","High claims","Saves from inside box","Penalties saved","Dribble(%)","Passes(%)","Crosses(%)","Long balls(%)","Duels(%)","Ground duels(%)","Aerial duels(%)","Runs out(%)","Result"
"A.E. Kifisia FC","1_2_2023-2024","Nikolaos Vafeas",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","D",90,0,0,0,0,0,0,0,1,0,0,0,0,0,11,6,1,3,1,1,0,0,0,0,0,0,52,30,39,"(77%)",0,0,0,9,4,0,10,6,3,1,7,5,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.769,NA,0.444,0.6,0.333,0.714,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Sotiris Ninis",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","M",45,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,16,22,"(73%)",0,1,0,3,1,0,6,2,6,2,0,0,10,2,1,0,NA,NA,NA,NA,NA,NA,NA,1,0.727,0,0.333,0.333,0.333,NA,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Jack Ipalibo",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","M",52,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,22,6,13,"(46%)",0,0,0,3,1,0,7,3,5,2,2,1,11,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.462,NA,0.333,0.429,0.4,0.5,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Panagiotis Pritsas",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","M",15,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,9,2,5,"(40%)",0,0,0,1,0,0,3,2,3,2,0,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.4,NA,0,0.667,0.667,NA,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Luka Capan",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","D",90,0,0,0,0,0,0,0,1,1,0,0,0,0,9,4,1,0,4,1,1,0,0,0,0,0,57,41,45,"(91%)",0,1,0,2,0,0,12,6,10,6,2,0,5,4,1,0,NA,NA,NA,NA,NA,NA,NA,1,0.911,0,0,0.5,0.6,0,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Ognjen Ozegovic",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","F",90,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,13,"(77%)",0,0,0,0,0,0,9,6,2,2,7,4,3,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.769,NA,NA,0.667,1,0.571,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Andrews Tetteh",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","F",90,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,33,6,15,"(40%)",0,0,0,0,0,0,15,5,11,3,4,2,17,4,2,1,NA,NA,NA,NA,NA,NA,NA,0,0.4,NA,NA,0.333,0.273,0.5,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Mateus Santos",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","M",45,0,0,0,0,0,1,1,8,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,36,12,15,"(80%)",1,5,1,2,1,0,12,4,12,4,0,0,15,1,1,0,NA,NA,NA,NA,NA,NA,NA,0.25,0.8,0.2,0.5,0.333,0.333,NA,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Giannis Masouras",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","D",90,0,0,1,0,0,0,0,4,3,0,0,0,0,5,3,0,0,2,1,0,0,0,0,0,0,87,33,45,"(73%)",1,3,0,6,1,0,13,10,11,8,2,2,23,0,3,0,NA,NA,NA,NA,NA,NA,NA,0.75,0.733,0,0.167,0.769,0.727,1,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Emanuel Sakic",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","M",90,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,53,24,33,"(73%)",1,3,1,3,2,0,16,5,13,5,3,0,19,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0.727,0.333,0.667,0.312,0.385,0,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Fabien Antunes",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","M",83,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,0,0,58,45,51,"(88%)",0,0,0,3,3,0,5,1,5,1,0,0,9,2,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.882,NA,1,0.2,0.2,NA,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Nicolas Andereggen",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","F",52,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,11,2,2,"(100%)",0,0,0,0,0,0,9,2,9,2,0,0,5,2,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0.222,0.222,NA,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Lumor Agbenyenu",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","D",89,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,1,0,3,0,0,0,0,0,0,0,46,20,26,"(77%)",0,1,0,1,0,0,6,4,6,4,0,0,9,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0.769,0,0,0.667,0.667,NA,NA,"Lose"
"A.E. Kifisia FC","1_2_2023-2024","Ogmundur Kristinsson",1,2,"1_2","2023-2024","Regular Season","First Round","Away","PAS Giannina","G",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,15,26,"(58%)",0,0,0,17,6,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,2,1,0,NA,0.577,NA,0.353,NA,NA,NA,NA,"Lose"
"A.E. Kifisia FC","10_2_2023-2024","Loick Landre",10,2,"10_2","2023-2024","Regular Season","First Round","Home","AEK Athens","D",90,0,0,1,0,0,0,0,0,0,0,0,0,0,10,4,2,1,3,0,0,0,0,0,0,0,38,11,20,"(55%)",0,0,0,5,1,0,12,8,9,6,3,2,11,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,0.2,0.667,0.667,0.667,NA,"Draw"
"A.E. Kifisia FC","10_2_2023-2024","Andrews Tetteh",10,2,"10_2","2023-2024","Regular Season","First Round","Home","AEK Athens","F",17,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,2,3,"(67%)",0,0,0,0,0,0,5,4,4,4,1,0,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,1,0.667,NA,NA,0.8,1,0,NA,"Draw"
"A.E. Kifisia FC","10_2_2023-2024","Ognjen Ozegovic",10,2,"10_2","2023-2024","Regular Season","First Round","Home","AEK Athens","F",73,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,36,14,20,"(70%)",0,0,0,1,0,0,7,4,6,4,1,0,14,0,3,1,NA,NA,NA,NA,NA,NA,NA,0.5,0.7,NA,0,0.571,0.667,0,NA,"Draw"
