"Team","idseason","Player","Fixture","Game","idgame","Season","Phase","Round","Home_Away","Against","Position","Minutes played","Goals","Assists","Yellow card","Red card","Shots on target","Shots off target","Shots blocked","Dribble attempts","Dribble attempts succ","Penalty won","Big chances missed","Penalty miss","Hit woodwork","Defensive actions","Clearances","Blocked shots","Interceptions","Total tackles","Dribbled past","Penalty committed","Own goals","Last man tackle","Error led to shot","Clearance off line","Error led to goal","Touches","Accurate passes","Total passes","Accurate passes(%)","Key passes","Total Crosses","Accurate Crosses","Total Long balls","Accurate Long balls","Big chances created","Duels","Duels won","Ground duels","Ground duels won","Aerial duels","Aerial duels won","Possession lost","Fouls","Was fouled","Offsides","Saves","Punches","Runs out","Runs out succ","High claims","Saves from inside box","Penalties saved","Dribble(%)","Passes(%)","Crosses(%)","Long balls(%)","Duels(%)","Ground duels(%)","Aerial duels(%)","Runs out(%)","Result"
"PAS Lamia 1964","6_7_2024-2025","Cristopher Nunez",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","M",84,0,0,0,0,0,1,0,6,3,0,0,0,0,5,1,0,1,3,1,0,0,0,0,0,0,65,33,35,"(94%)",0,5,0,0,0,0,18,11,15,10,3,1,13,0,4,0,NA,NA,NA,NA,NA,NA,NA,0.5,0.943,0,NA,0.611,0.667,0.333,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Artem Bykov",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","M",25,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,33,25,28,"(89%)",0,0,0,2,1,0,4,1,2,0,2,1,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.893,NA,0.5,0.25,0,0.5,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Leo",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","D",90,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,2,2,1,0,0,0,0,0,0,63,39,50,"(78%)",1,2,0,8,4,0,10,6,5,3,5,3,14,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0,0.5,0.6,0.6,0.6,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Anestis Vlachomitros",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","F",23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,"(25%)",0,0,0,0,0,0,4,2,2,0,2,2,5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,0.5,0,1,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Georgios Kornezos",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","D",90,0,0,0,0,0,1,0,1,1,0,0,0,0,8,3,1,2,2,1,0,0,0,0,0,0,60,31,46,"(67%)",0,0,0,5,0,0,16,12,6,4,10,8,16,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,0.674,NA,0,0.75,0.667,0.8,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Angelo Henriquez",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","F",65,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,25,9,12,"(75%)",0,1,0,1,0,0,12,4,9,2,3,2,10,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0.75,0,0,0.333,0.222,0.667,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Nedim Mekic",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","M",65,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,1,3,0,0,0,0,0,0,25,14,18,"(78%)",0,0,0,0,0,0,7,2,6,2,1,0,7,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0.778,NA,NA,0.286,0.333,0,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Sebastian Ring",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","M",90,1,0,0,0,1,0,0,2,1,0,0,0,0,7,1,0,1,5,4,0,0,0,0,0,0,72,29,38,"(76%)",1,5,1,3,1,0,16,8,13,7,3,1,17,1,1,0,NA,NA,NA,NA,NA,NA,NA,0.5,0.763,0.2,0.333,0.5,0.538,0.333,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Gustavo Furtado",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","F",90,0,0,1,0,1,1,0,5,2,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,50,16,21,"(76%)",2,8,3,3,1,0,19,9,14,8,5,1,17,1,4,0,NA,NA,NA,NA,NA,NA,NA,0.4,0.762,0.375,0.333,0.474,0.571,0.2,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Giannis Doiranlis",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","M",25,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,19,"(74%)",0,2,1,0,0,0,2,1,2,1,0,0,8,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0.737,0.5,NA,0.5,0.5,NA,NA,"Lose"
