"Team","idseason","Player","Fixture","Game","idgame","Season","Phase","Round","Home_Away","Against","Position","Minutes played","Goals","Assists","Yellow card","Red card","Shots on target","Shots off target","Shots blocked","Dribble attempts","Dribble attempts succ","Penalty won","Big chances missed","Penalty miss","Hit woodwork","Defensive actions","Clearances","Blocked shots","Interceptions","Total tackles","Dribbled past","Penalty committed","Own goals","Last man tackle","Error led to shot","Clearance off line","Error led to goal","Touches","Accurate passes","Total passes","Accurate passes(%)","Key passes","Total Crosses","Accurate Crosses","Total Long balls","Accurate Long balls","Big chances created","Duels","Duels won","Ground duels","Ground duels won","Aerial duels","Aerial duels won","Possession lost","Fouls","Was fouled","Offsides","Saves","Punches","Runs out","Runs out succ","High claims","Saves from inside box","Penalties saved","Dribble(%)","Passes(%)","Crosses(%)","Long balls(%)","Duels(%)","Ground duels(%)","Aerial duels(%)","Runs out(%)","Result"
"AEK Athens","1_3_2022-2023","Alexander Fransson",1,3,"1_3","2022-2023","Regular Season","First Round","Away","PAS Lamia 1964","M",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,"(86%)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.857,NA,0,NA,NA,NA,NA,"Win"
"AEK Athens","1_3_2022-2023","Nordin Amrabat",1,3,"1_3","2022-2023","Regular Season","First Round","Away","PAS Lamia 1964","M",89,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,43,27,31,"(87%)",1,3,1,4,4,1,9,2,9,2,0,0,10,5,1,0,NA,NA,NA,NA,NA,NA,NA,0,0.871,0.333,1,0.222,0.222,NA,NA,"Win"
"AEK Athens","1_3_2022-2023","Petros Mantalos",1,3,"1_3","2022-2023","Regular Season","First Round","Away","PAS Lamia 1964","F",90,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,31,12,16,"(75%)",0,2,1,4,3,0,9,5,7,4,2,1,10,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.5,0.75,0.556,0.571,0.5,NA,"Win"
"AEK Athens","1_3_2022-2023","Cican Stankovic",1,3,"1_3","2022-2023","Regular Season","First Round","Away","PAS Lamia 1964","G",90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,39,31,34,"(91%)",0,0,0,7,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,NA,0.912,NA,0.571,NA,NA,NA,NA,"Win"
"AEK Athens","1_3_2022-2023","Gerasimos Mitoglou",1,3,"1_3","2022-2023","Regular Season","First Round","Away","PAS Lamia 1964","D",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,"(100%)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Win"
"AEK Athens","1_3_2022-2023","Damian Szymanski",1,3,"1_3","2022-2023","Regular Season","First Round","Away","PAS Lamia 1964","M",90,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,2,5,1,1,0,0,0,0,0,65,44,55,"(80%)",0,0,0,7,5,0,10,5,10,5,0,0,13,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,0.714,0.5,0.5,NA,NA,"Win"
"AEK Athens","1_3_2022-2023","Orbelin Pineda",1,3,"1_3","2022-2023","Regular Season","First Round","Away","PAS Lamia 1964","M",76,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,21,"(81%)",1,0,0,1,0,0,3,1,3,1,0,0,7,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,0,0.333,0.333,NA,NA,"Win"
"AEK Athens","1_3_2022-2023","Domagoj Vida",1,3,"1_3","2022-2023","Regular Season","First Round","Away","PAS Lamia 1964","D",83,0,1,0,0,0,0,0,2,2,0,0,0,0,5,2,0,2,1,0,0,0,0,0,0,0,89,55,66,"(83%)",1,2,0,11,5,0,7,4,5,3,2,1,17,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,0.833,0,0.455,0.571,0.6,0.5,NA,"Win"
"AEK Athens","1_3_2022-2023","Milad Mohammadi",1,3,"1_3","2022-2023","Regular Season","First Round","Away","PAS Lamia 1964","D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,"(100%)",0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,NA,NA,"Win"
"AEK Athens","1_3_2022-2023","Ehsan Hajsafi",1,3,"1_3","2022-2023","Regular Season","First Round","Away","PAS Lamia 1964","D",90,0,0,0,0,0,0,0,2,1,0,0,0,0,7,4,0,2,1,0,0,0,0,0,0,0,90,51,62,"(82%)",0,0,0,11,6,0,9,5,7,4,2,1,17,1,2,0,NA,NA,NA,NA,NA,NA,NA,0.5,0.823,NA,0.545,0.556,0.571,0.5,NA,"Win"
